iter	Passed	Remaining
466	698	797
467	699	795
468	700	792
469	701	790
470	701	788
471	702	786
472	703	783
473	704	781
474	704	779
475	705	777
476	706	774
477	707	772
478	707	770
479	708	767
480	709	765
481	710	763
482	710	760
483	711	758
484	712	756
485	712	753
486	713	751
487	714	749
488	715	747
489	715	745
490	716	742
491	717	740
492	718	738
493	718	736
494	719	734
495	720	732
496	721	730
497	722	727
498	722	725
499	723	723
500	724	721
501	724	719
502	725	716
503	726	714
504	726	712
505	727	710
506	728	708
507	729	706
508	729	704
509	730	701
510	731	699
511	731	697
512	732	695
513	733	693
514	734	691
515	735	689
516	736	687
517	736	685
518	737	683
519	738	681
520	738	679
521	739	677
522	740	675
523	741	673
524	741	671
525	742	669
526	743	667
527	743	664
528	744	662
529	745	660
530	746	659
531	746	657
532	747	655
533	748	653
534	749	651
535	750	649
536	751	647
537	751	645
538	752	643
539	753	641
540	753	639
541	754	637
542	755	635
543	755	633
544	756	631
545	757	629
546	757	627
547	758	625
548	759	623
549	760	621
550	760	620
551	762	618
552	764	617
553	765	616
554	767	615
555	768	613
556	768	611
557	769	609
558	770	607
559	771	605
560	771	603
561	772	602
562	773	600
563	774	598
564	774	596
565	775	594
566	776	592
567	776	590
568	777	589
569	778	587
570	779	585
571	780	583
572	781	582
573	781	580
574	782	578
575	783	576
576	784	574
577	784	573
578	785	571
579	786	569
580	787	567
581	787	565
582	788	564
583	789	562
584	790	560
585	790	558
586	791	557
587	792	555
588	793	553
589	793	551
590	794	550
591	795	548
592	796	546
593	796	544
594	797	542
595	798	541
596	798	539
597	799	537
598	800	535
599	801	534
600	801	532
601	802	530
602	803	528
603	803	527
604	804	525
605	805	523
606	806	521
607	806	520
608	807	518
609	808	516
610	809	515
611	810	513
612	810	511
613	811	510
614	812	508
615	813	506
616	813	505
617	814	503
618	815	501
619	816	500
620	816	498
621	817	496
622	818	495
623	819	493
624	819	491
625	820	490
626	821	488
627	821	486
628	822	485
629	823	483
630	823	481
631	824	480
632	825	478
633	826	477
634	827	475
635	827	473
636	828	472
637	829	470
638	829	468
639	830	467
640	831	465
641	832	463
642	832	462
643	833	460
644	834	459
645	834	457
646	835	455
647	836	454
648	837	452
649	837	451
650	838	449
651	839	448
652	840	446
653	840	444
654	841	443
655	842	441
656	842	440
657	843	438
658	844	437
659	845	435
660	845	433
661	846	432
662	847	430
663	848	429
664	848	427
665	849	426
666	850	424
667	850	422
668	851	421
669	852	419
670	853	418
671	854	416
672	854	415
673	855	413
674	856	412
675	857	410
676	858	409
677	858	407
678	859	406
679	860	404
680	861	403
681	861	401
682	862	400
683	863	398
684	864	397
685	864	395
686	865	394
687	866	392
688	867	391
689	867	389
690	869	388
691	869	387
692	870	385
693	871	384
694	872	382
695	873	381
696	873	379
697	874	378
698	875	376
699	875	375
700	876	373
701	877	372
702	877	370
703	878	369
704	879	367
705	880	366
706	881	365
707	881	363
708	882	362
709	883	360
710	884	359
711	885	357
712	886	356
713	887	355
714	888	353
715	888	352
716	889	351
717	890	349
718	891	348
719	891	346
720	892	345
721	893	343
722	893	342
723	894	341
724	895	339
725	896	338
726	896	336
727	897	335
728	898	334
729	899	332
730	900	331
731	900	329
732	901	328
733	902	326
734	902	325
735	903	324
736	904	322
737	904	321
738	905	319
739	906	318
740	907	317
741	907	315
742	908	314
743	909	312
744	909	311
745	910	310
746	911	308
747	912	307
748	913	306
749	914	304
750	914	303
751	915	301
752	916	300
753	916	299
754	917	297
755	918	296
756	919	295
757	919	293
758	920	292
759	921	290
760	921	289
761	922	288
762	923	286
763	924	285
764	924	284
765	925	282
766	926	281
767	927	280
768	928	278
769	929	277
770	930	276
771	930	274
772	931	273
773	932	272
774	933	270
775	933	269
776	934	268
777	935	266
778	936	265
779	936	264
780	937	262
781	938	261
782	938	260
783	939	258
784	940	257
785	941	256
786	942	255
787	943	253
788	944	252
789	944	251
790	945	249
791	946	248
792	946	247
793	947	245
794	948	244
795	949	243
796	949	241
797	950	240
798	951	239
799	952	238
800	952	236
801	953	235
802	954	234
803	955	232
804	955	231
805	956	230
806	957	228
807	958	227
808	959	226
809	959	225
810	960	223
811	961	222
812	962	221
813	962	220
814	963	218
815	964	217
816	964	216
817	965	214
818	966	213
819	967	212
820	967	211
821	968	209
822	969	208
823	970	207
824	970	205
825	971	204
826	972	203
827	973	202
828	974	200
829	974	199
830	975	198
831	976	197
832	976	195
833	977	194
834	978	193
835	979	192
836	979	190
837	980	189
838	981	188
839	982	187
840	982	185
841	983	184
842	984	183
843	985	182
844	985	180
845	986	179
846	987	178
847	988	177
848	988	175
849	989	174
850	990	173
851	991	172
852	991	170
853	992	169
854	993	168
855	993	167
856	994	165
857	995	164
858	996	163
859	997	162
860	997	161
861	998	159
862	999	158
863	999	157
864	1000	156
865	1001	154
866	1002	153
